iter	Passed	Remaining
450	1078	1313
451	1081	1311
452	1083	1308
453	1085	1305
454	1087	1303
455	1090	1301
456	1093	1298
457	1095	1296
458	1097	1293
459	1099	1291
460	1102	1288
461	1104	1285
462	1107	1284
463	1110	1282
464	1112	1279
465	1114	1277
466	1117	1274
467	1119	1272
468	1122	1270
469	1124	1267
470	1126	1265
471	1129	1263
472	1131	1260
473	1134	1258
474	1136	1256
475	1139	1254
476	1141	1251
477	1143	1249
478	1145	1246
479	1148	1243
480	1150	1241
481	1153	1239
482	1156	1237
483	1158	1235
484	1161	1233
485	1163	1230
486	1166	1228
487	1168	1226
488	1171	1224
489	1173	1221
490	1176	1219
491	1178	1216
492	1180	1214
493	1183	1211
494	1185	1209
495	1187	1206
496	1190	1204
497	1192	1202
498	1195	1199
499	1197	1197
500	1199	1194
501	1201	1191
502	1204	1189
503	1206	1187
504	1208	1184
505	1211	1182
506	1213	1179
507	1215	1177
508	1218	1175
509	1220	1172
510	1223	1170
511	1225	1168
512	1228	1165
513	1230	1163
514	1232	1160
515	1235	1158
516	1237	1156
517	1240	1153
518	1242	1151
519	1245	1149
520	1247	1147
521	1250	1145
522	1252	1142
523	1254	1139
524	1256	1137
525	1259	1135
526	1262	1132
527	1264	1130
528	1267	1128
529	1269	1125
530	1272	1123
531	1274	1121
532	1276	1118
533	1279	1116
534	1281	1114
535	1283	1111
536	1286	1108
537	1288	1106
538	1290	1103
539	1292	1100
540	1295	1098
541	1297	1096
542	1300	1094
543	1302	1092
544	1304	1089
545	1307	1086
546	1309	1084
547	1312	1082
548	1314	1079
549	1317	1077
550	1319	1075
551	1322	1073
552	1324	1070
553	1327	1068
554	1329	1066
555	1332	1063
556	1334	1061
557	1336	1058
558	1339	1056
559	1342	1054
560	1344	1052
561	1347	1050
562	1350	1048
563	1352	1045
564	1355	1043
565	1357	1040
566	1360	1038
567	1362	1036
568	1364	1033
569	1366	1030
570	1369	1028
571	1371	1026
572	1373	1023
573	1376	1021
574	1379	1019
575	1381	1017
576	1384	1014
577	1385	1011
578	1388	1009
579	1391	1007
580	1393	1005
581	1396	1002
582	1398	1000
583	1400	997
584	1403	995
585	1405	993
586	1408	991
587	1411	988
588	1413	986
589	1415	983
590	1418	981
591	1420	979
592	1423	976
593	1425	974
594	1428	972
595	1430	969
596	1433	967
597	1435	965
598	1438	962
599	1440	960
600	1443	958
601	1446	956
602	1448	953
603	1450	951
604	1453	948
605	1455	946
606	1457	943
607	1460	941
608	1463	939
609	1465	936
610	1468	934
611	1470	932
612	1473	930
613	1475	927
614	1478	925
615	1480	922
616	1483	920
617	1486	918
618	1489	916
619	1491	914
620	1494	911
621	1496	909
622	1499	907
623	1501	904
624	1503	902
625	1506	899
626	1508	897
627	1510	894
628	1512	892
629	1514	889
630	1517	887
631	1519	884
632	1521	882
633	1523	879
634	1526	877
635	1528	874
636	1530	872
637	1533	870
638	1535	867
639	1538	865
640	1540	862
641	1542	859
642	1544	857
643	1546	855
644	1549	852
645	1551	850
646	1553	847
647	1555	845
648	1558	842
649	1561	840
650	1564	838
651	1566	836
652	1568	833
653	1570	831
654	1572	828
655	1574	825
656	1577	823
657	1580	821
658	1582	818
659	1584	816
660	1587	814
661	1589	811
662	1591	809
663	1594	806
664	1596	804
665	1598	801
666	1600	799
667	1603	796
668	1605	794
669	1608	792
670	1610	789
671	1613	787
672	1615	785
673	1618	782
674	1620	780
675	1622	777
676	1625	775
677	1628	773
678	1630	770
679	1632	768
680	1635	765
681	1637	763
682	1639	761
683	1642	758
684	1644	756
685	1647	754
686	1649	751
687	1651	749
688	1654	746
689	1658	744
690	1661	742
691	1663	740
692	1665	737
