iter	RMSE
175	3.180391939
176	3.169803805
177	3.167949429
178	3.163741667
179	3.153006684
180	3.145464959
181	3.130353664
182	3.128562796
183	3.12180618
184	3.11208546
185	3.105184682
186	3.101944585
187	3.100182119
188	3.090652988
189	3.082868689
190	3.077196463
191	3.068118917
192	3.065879603
193	3.058529143
194	3.050475928
195	3.04663474
196	3.039198422
197	3.03280908
198	3.028887722
199	3.023732552
200	3.019122064
201	3.013498328
202	3.009581603
203	3.003348358
204	2.999505884
205	2.993161788
206	2.986491572
207	2.980878703
208	2.97636259
209	2.972928373
210	2.968031454
211	2.961294485
212	2.959675971
213	2.956199809
214	2.953347009
215	2.951485147
216	2.946493112
217	2.943725443
218	2.936266281
219	2.931523783
220	2.926758009
221	2.921849897
222	2.918396797
223	2.912491165
224	2.909493394
225	2.904241577
226	2.898105187
227	2.892244911
228	2.890055924
229	2.885452355
230	2.880221682
231	2.875222313
232	2.870521285
233	2.864099686
234	2.86101648
235	2.858023649
236	2.852383413
237	2.850290008
238	2.846909831
239	2.844480661
240	2.84220538
241	2.839018314
242	2.836387686
243	2.830007229
244	2.82464061
245	2.820168043
246	2.817595913
247	2.814420348
248	2.810316355
249	2.809246584
250	2.807583588
251	2.805268754
252	2.802348607
253	2.801280264
254	2.798762827
255	2.794619415
256	2.791925702
257	2.789550227
258	2.78901344
259	2.784393203
260	2.780045119
261	2.777798867
262	2.773040976
263	2.771040541
264	2.768319729
265	2.766340421
266	2.76478608
267	2.76430942
268	2.760652972
269	2.756786545
270	2.755344969
271	2.751178969
272	2.747335631
273	2.745195209
274	2.742456534
275	2.739595146
276	2.738503183
277	2.736673922
278	2.734710801
279	2.731500364
280	2.727769702
281	2.726360303
282	2.723331625
283	2.72097632
284	2.718596661
285	2.716704812
286	2.713785874
287	2.712808284
288	2.710452095
289	2.707987447
290	2.707560624
291	2.703437886
292	2.700831914
293	2.69924117
294	2.698866647
295	2.695256285
296	2.694875083
297	2.692837231
298	2.690318182
299	2.689183368
300	2.686644575
301	2.68344153
302	2.680219812
303	2.679389419
304	2.678608175
305	2.677421026
306	2.675578417
307	2.672917664
308	2.670248801
309	2.668885983
310	2.668268913
311	2.665927252
312	2.665150882
313	2.662144698
314	2.661357024
315	2.660071077
316	2.657263088
317	2.656712062
318	2.654440173
319	2.654317146
320	2.653104383
321	2.651010033
322	2.649648093
323	2.647633413
324	2.645019083
325	2.642777894
326	2.642099674
327	2.641463225
328	2.63855977
329	2.636768754
330	2.636658773
331	2.63424656
332	2.632658551
333	2.63034473
334	2.626884263
335	2.624927901
336	2.622402178
337	2.619142701
338	2.617252658
339	2.616553338
340	2.614416278
341	2.612560162
342	2.610894397
343	2.609386307
344	2.608492994
345	2.608089263
346	2.605574433
347	2.60339277
348	2.602730728
349	2.60063967
350	2.597798942
351	2.597105467
352	2.595631751
353	2.59262797
354	2.591706433
355	2.590361072
356	2.588470436
357	2.586296413
358	2.58558849
359	2.584446815
360	2.583018894
361	2.582541778
362	2.580328304
363	2.578382132
364	2.575185173
365	2.574230071
366	2.572507932
367	2.572342123
368	2.57003538
369	2.568467595
370	2.566293566
371	2.564805939
372	2.562859114
373	2.561143327
374	2.560277172
375	2.559906891
376	2.559020969
377	2.5571444
378	2.556493327
379	2.554051808
380	2.552401205
381	2.550376227
382	2.549301515
383	2.547113038
384	2.545339344
385	2.542947559
386	2.541708735
387	2.539820074
388	2.539039431
389	2.537859829
390	2.537526368
391	2.536187292
392	2.534090204
393	2.532488367
394	2.532104593
395	2.530611447
396	2.528312061
397	2.527404992
398	2.525285534
399	2.524999015
400	2.523360313
401	2.521245894
402	2.519277373
403	2.517798842
404	2.516414982
405	2.516124709
406	2.513585684
407	2.513487502
408	2.511608557
409	2.510101088
410	2.509730215
411	2.50786855
412	2.507299552
413	2.506006761
414	2.504685413
415	2.503570401
416	2.502067004
417	2.500541244
418	2.498806
419	2.497499535
420	2.497146959
421	2.496394075
422	2.49533397
423	2.49349944
424	2.492120443
425	2.491079867
426	2.489432323
427	2.487422472
428	2.485631836
429	2.484292548
430	2.48262742
431	2.481052971
432	2.479595704
433	2.478847413
434	2.47831603
435	2.477142544
436	2.475206536
437	2.473781797
438	2.472384029
439	2.470529095
440	2.469416653
441	2.467834631
442	2.466392729
443	2.465327507
444	2.464133585
445	2.462493424
446	2.461533317
447	2.459905699
448	2.459675437
449	2.458348483
450	2.45641693
451	2.454936793
452	2.454721601
453	2.45462927
454	2.452854744
455	2.45132514
456	2.450644343
457	2.449916459
458	2.448303297
459	2.447544448
460	2.446201882
461	2.445406827
462	2.443581209
463	2.443020217
464	2.442234781
465	2.440993713
466	2.440006778
467	2.438385182
468	2.437246579
469	2.436795413
470	2.435166621
471	2.434026491
472	2.433229798
473	2.432083082
474	2.43077527
475	2.42961118
476	2.428725469
477	2.428502486
478	2.42769128
479	2.426798942
480	2.425759963
481	2.424589708
482	2.424357212
483	2.423433802
484	2.422192081
485	2.421432365
486	2.420490297
487	2.420396854
488	2.42029449
489	2.419224921
490	2.418114375
491	2.41666165
492	2.415066361
493	2.414152121
494	2.413908292
495	2.41287987
496	2.411866093
497	2.411055769
498	2.410252458
499	2.409048253
500	2.408927381
501	2.408846846
502	2.408433131
503	2.40679884
504	2.405577631
505	2.404003168
506	2.403299788
507	2.403079956
508	2.401811644
509	2.401002643
510	2.40029728
511	2.398919821
512	2.398254569
513	2.397498942
514	2.396510176
515	2.395339623
516	2.393927255
517	2.393210371
518	2.393132766
519	2.392120098
520	2.391342103
521	2.390880014
522	2.389721835
523	2.388991702
524	2.388856993
525	2.388022987
526	2.386008366
527	2.385019503
528	2.384572056
529	2.383963304
530	2.383409676
531	2.382708341
532	2.382020823
533	2.381497455
534	2.381265542
535	2.380316944
536	2.378496358
537	2.378385521
538	2.376931868
539	2.375495642
540	2.374897519
541	2.373767919
542	2.372681738
543	2.372307562
544	2.371600597
545	2.37099518
546	2.370271713
547	2.369536805
548	2.368703901
549	2.368061969
550	2.366772675
551	2.365779655
552	2.364318734
553	2.363269094
554	2.362047486
555	2.361530935
556	2.360840179
557	2.359601399
558	2.358642342
559	2.356897426
560	2.355473486
561	2.354636525
562	2.35335007
563	2.352524298
564	2.351372593
565	2.351284887
566	2.350647391
567	2.349811647
568	2.349249681
569	2.348104385
570	2.347418668
571	2.34662566
572	2.346540797
573	2.345922315
574	2.344927926
575	2.344428849
576	2.343487125
577	2.343388162
578	2.342463578
579	2.34093569
580	2.340632572
581	2.339771329
582	2.339007983
583	2.338258026
584	2.337019122
585	2.336315704
586	2.335797709
587	2.334948609
588	2.334572073
589	2.333880925
590	2.333260797
591	2.332357692
592	2.331591462
593	2.330696168
594	2.329906151
595	2.329244128
596	2.328918881
597	2.328401748
598	2.327555831
599	2.327095234
600	2.325994925
601	2.325325643
602	2.32488434
603	2.323926002
604	2.322801502
605	2.322709322
606	2.321883714
607	2.320903744
608	2.319795122
609	2.319243812
610	2.318573685
611	2.317319423
612	2.316540887
613	2.316474536
614	2.315979266
615	2.315222105
616	2.314556718
617	2.313644166
618	2.312937525
619	2.312549722
620	2.311701816
621	2.310022849
622	2.309601928
623	2.309527221
624	2.308883817
625	2.308438598
626	2.307662046
627	2.306105731
628	2.305183937
629	2.304632722
630	2.303679685
631	2.303375737
632	2.302341515
633	2.30195392
634	2.301809315
635	2.301302036
636	2.300531501
637	2.299067126
638	2.298241922
639	2.297942397
640	2.297356299
641	2.297228093
642	2.297167592
643	2.296378861
644	2.295268342
645	2.294683726
646	2.293789982
647	2.293131151
648	2.292457672
649	2.291802151
650	2.290927049
651	2.290395782
652	2.289548171
653	2.288732469
654	2.287983064
655	2.287825576
656	2.287185389
657	2.287047071
658	2.286199213
659	2.28585532
660	2.285202342
661	2.284661707
662	2.284154937
663	2.283430087
664	2.282023066
665	2.281968659
666	2.281123251
667	2.280299024
668	2.279845052
669	2.279292996
670	2.278730546
671	2.277998363
672	2.277324029
673	2.27676209
674	2.276017422
675	2.275271505
676	2.274762962
677	2.273999456
678	2.273039172
679	2.273000457
680	2.272949861
681	2.272882761
682	2.272237315
683	2.272191119
684	2.272145886
685	2.271132285
686	2.270635373
687	2.270249226
688	2.269732459
689	2.269056896
690	2.268204131
691	2.267719779
692	2.266967346
693	2.266309959
694	2.265919969
695	2.265317397
696	2.264591529
697	2.264212644
698	2.263632747
699	2.262337315
700	2.261508615
701	2.259910772
702	2.259022843
703	2.258495284
704	2.257965
705	2.25792302
706	2.256607031
707	2.256249252
708	2.255785527
709	2.254980126
710	2.254296961
711	2.253927706
712	2.253050777
713	2.252556789
714	2.251791666
715	2.250981538
716	2.250616997
717	2.249764329
718	2.249348983
719	2.248040207
720	2.247972166
721	2.247140645
722	2.246569044
723	2.246277607
724	2.245704362
725	2.2456693
726	2.24522445
727	2.244417047
728	2.243352979
729	2.242843929
730	2.242331292
731	2.241683025
732	2.2411694
733	2.240516226
734	2.239476853
735	2.239360029
736	2.239145203
737	2.238673334
738	2.237728589
739	2.237332337
740	2.236597655
741	2.236291209
742	2.235703522
743	2.235123033
744	2.234686076
745	2.234240842
746	2.233259936
747	2.232655779
748	2.231857137
749	2.230903887
750	2.230528072
751	2.230086167
752	2.229783197
753	2.22898625
754	2.228102537
755	2.227413211
756	2.227380051
757	2.227009773
758	2.225917705
759	2.225417904
760	2.224826421
761	2.223936614
762	2.223275554
763	2.222595381
764	2.222225421
765	2.221823429
766	2.221197345
767	2.220622801
768	2.220101527
769	2.219577315
770	2.218737794
771	2.218249019
772	2.217635897
773	2.216672911
774	2.21576838
775	2.215201274
776	2.214914459
777	2.2144293
778	2.214394919
779	2.213451711
780	2.212867908
781	2.21241734
782	2.211974947
783	2.211949436
784	2.211019811
785	2.210470147
786	2.209799813
787	2.209174027
788	2.208620157
789	2.208157568
790	2.207903013
791	2.207578644
792	2.20649034
793	2.205996889
794	2.20516531
795	2.20471197
796	2.204617324
797	2.203733506
798	2.203467235
799	2.203058828
800	2.202172793
801	2.201483785
802	2.201061396
803	2.200459642
804	2.199831945
805	2.199246488
806	2.198881154
807	2.198856609
808	2.198585915
809	2.198554604
810	2.198140467
811	2.19761194
812	2.196803758
813	2.196111781
814	2.196059432
815	2.195871788
816	2.195468879
817	2.195144268
818	2.194813927
819	2.194316127
820	2.193751303
821	2.193163676
822	2.192813945
823	2.192784458
824	2.1921893
825	2.191663428
826	2.191295987
827	2.190816398
828	2.190354624
829	2.190336563
830	2.189841795
831	2.189163581
832	2.188765789
833	2.188352246
834	2.187911522
835	2.187486742
836	2.187202765
837	2.186286671
838	2.186018199
839	2.185498904
840	2.185105382
841	2.184013149
842	2.183534082
843	2.182930681
844	2.182592367
845	2.182564771
846	2.181944409
847	2.18159606
848	2.180832101
849	2.180418042
850	2.179923508
851	2.179652287
852	2.17942285
853	2.178938997
854	2.178398061
855	2.177627494
856	2.177326878
857	2.176731541
858	2.176440837
859	2.176015361
860	2.17516664
861	2.175140573
862	2.174579008
863	2.173839095
864	2.173287865
865	2.172452385
866	2.171373873
867	2.170981793
868	2.170578398
869	2.169629613
870	2.169144353
871	2.168612347
872	2.168166472
873	2.167664887
874	2.167173334
875	2.166321174
876	2.165959426
877	2.165569314
878	2.164714072
879	2.164472769
880	2.163937436
881	2.163727121
882	2.163686474
883	2.16340012
884	2.163119657
885	2.162490659
886	2.162452505
887	2.162081182
888	2.161716061
889	2.16137889
890	2.160779459
891	2.160523417
892	2.160058348
893	2.159425925
894	2.159250764
895	2.158808995
896	2.1582082
897	2.157733261
898	2.157103007
899	2.156912793
900	2.156614442
901	2.156209926
902	2.155730076
903	2.155362687
904	2.154994225
905	2.154615903
906	2.154460929
907	2.15406219
908	2.153782632
909	2.15335535
910	2.152945091
911	2.152922198
912	2.152298977
913	2.152257872
914	2.151457344
915	2.150745935
916	2.150259438
917	2.149749774
918	2.14938048
919	2.148648445
920	2.148202835
921	2.147716463
922	2.147157172
923	2.146939722
924	2.146639273
925	2.146374731
926	2.146159502
927	2.145774559
928	2.145750922
929	2.145639557
930	2.145168255
931	2.144776887
932	2.144196131
933	2.143825831
934	2.142942388
935	2.142909651
936	2.142676163
937	2.142394423
938	2.14189014
939	2.141277323
940	2.141071585
941	2.140773963
942	2.14017566
943	2.139705425
944	2.13935016
945	2.138999102
946	2.138658989
947	2.138116428
948	2.137772551
949	2.137435328
950	2.137101046
951	2.136532373
952	2.135897026
953	2.135505245
954	2.135477513
955	2.13439927
956	2.1332029
957	2.132936126
958	2.132344344
959	2.132050298
960	2.131700227
961	2.131444304
962	2.13110744
963	2.131087168
964	2.13023782
965	2.129747416
966	2.129217354
967	2.128920975
968	2.128490327
969	2.128157207
970	2.127432413
971	2.126989869
972	2.126464175
973	2.126097237
974	2.125737624
975	2.125422981
976	2.124818248
977	2.124526333
978	2.124215321
979	2.123427839
980	2.123408782
981	2.123076267
982	2.122816883
983	2.122587788
984	2.122386039
985	2.121976818
986	2.12154154
987	2.121333631
988	2.121042632
989	2.120332001
990	2.120034426
991	2.119651495
992	2.119289654
993	2.118730447
994	2.118371194
995	2.118192768
996	2.117432447
997	2.116913325
998	2.116133982
999	2.115882308
